,bn_pt,m,n,method_1,method_2,ratio
0,11,1,1,bnw,apm,0.7363094523780951
1,11,1,1,apm,itv,0.748389935597424
2,11,1,1,itv,bnw,0.6202648105924237
3,11,1,2,bnw,apm,0.5483419336773471
4,11,1,2,apm,itv,0.7219088763550542
5,11,1,2,itv,bnw,0.4558982359294372
6,11,1,3,bnw,apm,0.6432257290291612
7,11,1,3,apm,itv,0.6257850314012561
8,11,1,3,itv,bnw,0.5971038841553662
9,11,1,4,bnw,apm,0.2860114404576183
10,11,1,4,apm,itv,0.5402616104644186
11,11,1,4,itv,bnw,0.3041721668866755
12,11,1,5,bnw,apm,0.4468978759150366
13,11,1,5,apm,itv,0.672506900276011
14,11,1,5,itv,bnw,0.2998119924796992
15,11,2,1,bnw,apm,0.5483419336773471
16,11,2,1,apm,itv,0.7219088763550542
17,11,2,1,itv,bnw,0.4558982359294372
18,11,2,2,bnw,apm,0.6738669546781871
19,11,2,2,apm,itv,0.7139485579423177
20,11,2,2,itv,bnw,0.5408616344653786
21,11,2,3,bnw,apm,0.23344933797351894
22,11,2,3,apm,itv,0.624904996199848
23,11,2,3,itv,bnw,0.25693027721108846
24,11,2,4,bnw,apm,0.7556302252090084
25,11,2,4,apm,itv,0.5080203208128325
26,11,2,4,itv,bnw,0.44577783111324454
27,11,2,5,bnw,apm,0.3556142245689828
28,11,2,5,apm,itv,0.5361414456578263
29,11,2,5,itv,bnw,0.30141205648225927
30,11,3,1,bnw,apm,0.6432257290291612
31,11,3,1,apm,itv,0.6257850314012561
32,11,3,1,itv,bnw,0.5971038841553662
33,11,3,2,bnw,apm,0.23344933797351894
34,11,3,2,apm,itv,0.624904996199848
35,11,3,2,itv,bnw,0.25693027721108846
36,11,3,3,bnw,apm,0.796311852474099
37,11,3,3,apm,itv,0.6708268330733229
38,11,3,3,itv,bnw,0.5488619544781791
39,11,3,4,bnw,apm,0.6700668026721068
40,11,3,4,apm,itv,0.578503140125605
41,11,3,4,itv,bnw,0.4296971878875155
42,11,3,5,bnw,apm,0.3889355574222969
43,11,3,5,apm,itv,0.5079803192127685
44,11,3,5,itv,bnw,0.41477659106364256
45,11,4,1,bnw,apm,0.2860114404576183
