,bn_pt,method_1,method_2,ratio
0,11,apm,itv,0.6162646505860233
1,11,bnw,apm,0.4990775631025242
2,11,itv,bnw,0.39255970238809546
3,12,apm,itv,0.7274450978039121
4,12,bnw,apm,0.5286515460618425
5,12,itv,bnw,0.47277251090043615
6,13,apm,itv,0.8115172606904276
7,13,bnw,apm,0.5829321172846913
8,13,itv,bnw,0.5211840473618945
9,14,apm,itv,0.7753110124404976
10,14,bnw,apm,0.6352446097843913
11,14,itv,bnw,0.5829673186927478
12,15,apm,itv,0.8190695627825112
13,15,bnw,apm,0.6801440057602304
14,15,itv,bnw,0.6145413816552662
15,16,apm,itv,0.8537685507420296
16,16,bnw,apm,0.6078227129085164
17,16,itv,bnw,0.5582431297251891
18,17,apm,itv,0.8446017840713627
19,17,bnw,apm,0.6417216688667545
20,17,itv,bnw,0.5789687587503503
21,18,apm,itv,0.7737269490779631
22,18,bnw,apm,0.6430449217968719
23,18,itv,bnw,0.6222408896355855
24,19,apm,itv,0.905508220328813
25,19,bnw,apm,0.6914756590263609
26,19,itv,bnw,0.6420560822432897
27,20,apm,itv,0.8830129205168207
28,20,bnw,apm,0.692658106324253
29,20,itv,bnw,0.647515500620025
